               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.057575,             0.14616,            0.024262,             0.33985,             0.27285,             0.24161,             0.12326,            0.067484,             0.12962,            0.043317,             0.00208,             0.00208,             0.00208
                  82,            0.057375,             0.14601,            0.024329,             0.40602,             0.26032,             0.24105,             0.12525,            0.067469,             0.13017,            0.043701,            0.001981,            0.001981,            0.001981
                  83,            0.057051,             0.14392,            0.024412,             0.40789,             0.26437,             0.24125,             0.12175,            0.067713,             0.13071,             0.04367,            0.001882,            0.001882,            0.001882
                  84,             0.05746,             0.14698,            0.024397,             0.42294,             0.25306,             0.23917,             0.12159,            0.067808,             0.13136,            0.043772,            0.001783,            0.001783,            0.001783
                  85,            0.056994,             0.14559,             0.02368,             0.34949,             0.26671,             0.24005,             0.12411,            0.067731,             0.13136,            0.043717,            0.001684,            0.001684,            0.001684
                  86,            0.056382,             0.14237,            0.023728,             0.40882,             0.26301,             0.24093,             0.12227,            0.067827,             0.12964,            0.043304,            0.001585,            0.001585,            0.001585
                  87,            0.056932,             0.14616,            0.023841,             0.41491,             0.26731,             0.23913,             0.12226,            0.068216,             0.13239,            0.044108,            0.001486,            0.001486,            0.001486
                  88,            0.056635,             0.14478,            0.023235,             0.42689,             0.25696,             0.23866,             0.12095,            0.068111,             0.13056,            0.044024,            0.001387,            0.001387,            0.001387
                  89,            0.056288,             0.14388,            0.023136,             0.41232,             0.25769,             0.23798,              0.1226,            0.067881,             0.13097,            0.044462,            0.001288,            0.001288,            0.001288
                  90,            0.056313,             0.14312,            0.023068,             0.42424,             0.25887,             0.23748,              0.1198,            0.068379,             0.13258,             0.04443,            0.001189,            0.001189,            0.001189
                  91,            0.056413,             0.14212,            0.023063,             0.41615,             0.26417,             0.23821,             0.12149,            0.068133,             0.13168,            0.044429,             0.00109,             0.00109,             0.00109
                  92,            0.056041,             0.14259,            0.022734,             0.42842,              0.2558,              0.2362,              0.1224,            0.067907,             0.13252,            0.044406,            0.000991,            0.000991,            0.000991
                  93,            0.056094,             0.14132,            0.022827,             0.42505,             0.25834,             0.23707,              0.1214,            0.068032,             0.13217,             0.04411,            0.000892,            0.000892,            0.000892
                  94,            0.056083,             0.14196,            0.022877,             0.42052,             0.25627,             0.23414,             0.11777,            0.068637,              0.1332,            0.044207,            0.000793,            0.000793,            0.000793
                  95,            0.055749,             0.14169,            0.022787,             0.40761,             0.26175,             0.23381,             0.12086,            0.068021,             0.13253,            0.044867,            0.000694,            0.000694,            0.000694
                  96,            0.055937,              0.1407,            0.022645,             0.40904,             0.26233,             0.23308,             0.12082,            0.068246,             0.13276,            0.044537,            0.000595,            0.000595,            0.000595
                  97,             0.05619,             0.14379,            0.022747,             0.42044,              0.2558,             0.23501,             0.12273,            0.067905,             0.13322,            0.044227,            0.000496,            0.000496,            0.000496
                  98,            0.055718,             0.13998,            0.022505,             0.40855,             0.26197,             0.23377,             0.12004,            0.068316,              0.1328,            0.044783,            0.000397,            0.000397,            0.000397
                  99,            0.055933,             0.14307,             0.02249,             0.41953,             0.25353,             0.23236,             0.11962,             0.06834,             0.13387,            0.044584,            0.000298,            0.000298,            0.000298
